Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
CNN,2,ENTIRE,cSigp01MSE,76.22,19.76,0.13,3.88,0.01,95.98,28.68,822.74,20.78,0.15
CNN,2,TBR_2,cSigp01MSE,36.79,0,0,63.1,0.11,36.79,30.66,940,27.26,0.57
CNN,2,TBR_1,cSigp01MSE,21.84,0,0,77.94,0.22,21.84,28.73,825.34,23.85,0.39
CNN,2,TIR,cSigp01MSE,74.61,25.21,0.18,0,0,99.82,24.94,621.97,18.07,0.15
CNN,2,TAR_1,cSigp01MSE,85.19,14.15,0.07,0.57,0.02,99.34,30.8,948.83,22.16,0.11
CNN,2,TAR_2,cSigp01MSE,87.47,10.88,0.03,1.62,0,98.35,40.09,1607.09,30.66,0.1
CNN,2,ENTIRE,cSigp06MSE,76.89,19.61,0.13,3.35,0.02,96.5,28.72,824.58,20.71,0.14
CNN,2,TBR_2,cSigp06MSE,47.59,0,0,52.31,0.11,47.59,28.8,829.68,25.24,0.53
CNN,2,TBR_1,cSigp06MSE,32.98,0,0,66.8,0.22,32.98,27.09,734.04,21.52,0.35
CNN,2,TIR,cSigp06MSE,74.84,24.98,0.18,0,0,99.82,25.07,628.34,18.06,0.15
CNN,2,TAR_1,cSigp06MSE,85.3,14.04,0.07,0.57,0.03,99.34,30.82,949.67,22.13,0.11
CNN,2,TAR_2,cSigp06MSE,87.32,11.04,0.03,1.61,0,98.36,40.34,1627.39,31,0.1
CNN,2,ENTIRE,cSigp01,77.35,21.26,0.18,1.14,0.08,98.61,30.23,914.14,21.2,0.14
CNN,2,TBR_2,cSigp01,91.31,0,0,8.57,0.12,91.31,16.82,283.01,9.28,0.19
CNN,2,TBR_1,cSigp01,80.26,0,0,19.48,0.26,80.26,20.28,411.13,12.18,0.2
CNN,2,TIR,cSigp01,72.04,27.69,0.27,0,0,99.73,27.74,769.34,19.51,0.16
CNN,2,TAR_1,cSigp01,84.74,14.36,0.07,0.56,0.28,99.1,32.24,1039.25,22.65,0.11
CNN,2,TAR_2,cSigp01,87.83,10.55,0.03,1.59,0.01,98.38,40.45,1635.89,31.06,0.1
CNN,2,ENTIRE,cSigp06,78.07,20.42,0.14,1.3,0.07,98.49,30.13,908.11,21.17,0.14
CNN,2,TBR_2,cSigp06,90,0,0,9.89,0.11,90,20.21,408.6,15,0.32
CNN,2,TBR_1,cSigp06,77.14,0,0,22.62,0.24,77.14,20.57,422.94,12.26,0.2
CNN,2,TIR,cSigp06,73.95,25.85,0.21,0,0,99.8,26.61,707.85,18.65,0.15
CNN,2,TAR_1,cSigp06,84.46,14.62,0.06,0.61,0.25,99.08,32.46,1053.94,23.03,0.11
CNN,2,TAR_2,cSigp06,85.86,12.34,0.02,1.77,0.01,98.2,43.15,1861.92,34,0.11
CNN,2,ENTIRE,gMAD,77.14,20.88,0.3,1.63,0.06,98.02,30.11,906.44,21.08,0.14
CNN,2,TBR_2,gMAD,84.42,0,0,15.44,0.14,84.42,19.92,396.69,12.14,0.25
CNN,2,TBR_1,gMAD,68.5,0,0,31.2,0.3,68.5,22.42,502.54,13.86,0.22
CNN,2,TIR,gMAD,73.01,26.61,0.38,0,0.01,99.62,27.7,767.56,19.33,0.16
CNN,2,TAR_1,gMAD,82.6,16.41,0.26,0.56,0.16,99.01,33.82,1143.71,24.23,0.12
CNN,2,TAR_2,gMAD,89.79,8.69,0.12,1.39,0,98.48,36.36,1322.35,26.88,0.09
CNN,2,ENTIRE,gMSE,76.56,20.5,0.23,2.68,0.03,97.06,29.18,851.39,20.91,0.15
CNN,2,TBR_2,gMSE,63.81,0,0,36.05,0.13,63.81,25.82,666.63,20.36,0.43
CNN,2,TBR_1,gMSE,45.42,0,0,54.29,0.29,45.42,26.21,686.97,19.22,0.31
CNN,2,TIR,gMSE,73.17,26.53,0.3,0,0,99.7,26.7,712.65,19.08,0.16
CNN,2,TAR_1,gMSE,84.2,15.03,0.18,0.54,0.06,99.23,31.93,1019.52,23,0.11
CNN,2,TAR_2,gMSE,90.03,8.58,0.08,1.31,0,98.61,36.1,1303.14,26.82,0.09
CNN,4,ENTIRE,cSigp01MSE,59.97,33.49,0.57,5.86,0.1,93.46,41.94,1759.1,31.09,0.22
CNN,4,TBR_2,cSigp01MSE,0.53,0,0,97.84,1.63,0.53,52.82,2790.06,47.52,0.99
CNN,4,TBR_1,cSigp01MSE,1.02,0,0,96.64,2.34,1.02,49.24,2424.1,42.47,0.69
CNN,4,TIR,cSigp01MSE,58.51,40.64,0.85,0,0,99.15,34.37,1181.17,25.89,0.22
CNN,4,TAR_1,cSigp01MSE,73.96,24.24,0.21,1.59,0,98.2,41.82,1749.21,30.87,0.15
CNN,4,TAR_2,cSigp01MSE,63.3,28.86,0.09,7.75,0,92.16,67.27,4525.13,53.88,0.18
CNN,4,ENTIRE,cSigp06MSE,59.98,33.6,0.56,5.75,0.11,93.58,42.04,1767.13,31.14,0.22
CNN,4,TBR_2,cSigp06MSE,1.65,0,0,96.67,1.67,1.65,51.61,2663.2,45.61,0.95
CNN,4,TBR_1,cSigp06MSE,2.78,0,0,94.8,2.42,2.78,48.81,2382.14,41.33,0.67
CNN,4,TIR,cSigp06MSE,58.33,40.84,0.84,0,0,99.17,34.57,1194.89,26.08,0.22
CNN,4,TAR_1,cSigp06MSE,74.45,23.78,0.2,1.56,0,98.23,41.62,1732.51,30.59,0.14
CNN,4,TAR_2,cSigp06MSE,62.62,29.73,0.08,7.56,0,92.35,67.69,4582.27,54.41,0.18
CNN,4,ENTIRE,cSigp01,62.61,33.29,0.79,2.85,0.46,95.9,44.23,1955.85,31.57,0.21
CNN,4,TBR_2,cSigp01,70.82,0,0,27.13,2.05,70.82,37.19,1382.96,21.89,0.46
CNN,4,TBR_1,cSigp01,57.86,0,0,39.23,2.91,57.86,38.92,1515.04,23.11,0.37
CNN,4,TIR,cSigp01,57.88,40.92,1.2,0,0,98.8,38.21,1459.89,27.92,0.23
CNN,4,TAR_1,cSigp01,73.18,23.92,0.23,1.4,1.27,97.1,46.32,2145.61,32.8,0.16
CNN,4,TAR_2,cSigp01,66.62,26.27,0.09,6.78,0.23,92.89,66.16,4377.35,51.9,0.17
CNN,4,ENTIRE,cSigp06,62.86,33.1,0.67,2.91,0.47,95.96,44.31,1963.64,31.63,0.21
CNN,4,TBR_2,cSigp06,71.73,0,0,26.32,1.95,71.73,38.29,1466.35,26.23,0.55
CNN,4,TBR_1,cSigp06,59.39,0,0,37.88,2.73,59.39,38.65,1493.49,23.08,0.37
CNN,4,TIR,cSigp06,59.26,39.73,1,0,0,98.99,37.12,1378.02,27.05,0.22
CNN,4,TAR_1,cSigp06,72,24.91,0.21,1.53,1.35,96.91,47.02,2210.88,33.71,0.16
CNN,4,TAR_2,cSigp06,63.3,28.87,0.08,7.49,0.25,92.17,68.87,4743.13,54.77,0.18
CNN,4,ENTIRE,gMAD,61.99,32.59,1.28,3.86,0.28,94.58,44.22,1955.76,31.56,0.22
CNN,4,TBR_2,gMAD,52.33,0,0,45.75,1.92,52.33,41.69,1737.72,27.98,0.58
CNN,4,TBR_1,gMAD,37.88,0,0,59.35,2.77,37.88,42.78,1830.37,28.78,0.47
CNN,4,TIR,gMAD,59.07,39.18,1.73,0,0.02,98.25,38.92,1514.6,27.71,0.23
CNN,4,TAR_1,gMAD,67.96,29.04,0.84,1.6,0.56,97,48.47,2349.14,35.95,0.17
CNN,4,TAR_2,gMAD,73.85,18.73,0.37,6.94,0.11,92.58,59.42,3530.92,44.05,0.15
CNN,4,ENTIRE,gMSE,59.57,33.9,0.98,5.41,0.14,93.47,42.54,1810.05,31.43,0.23
CNN,4,TBR_2,gMSE,12.78,0,0,85.35,1.87,12.78,50.9,2591.08,43.35,0.9
CNN,4,TBR_1,gMSE,6.7,0,0,90.59,2.71,6.7,49.32,2432.52,40.49,0.66
CNN,4,TIR,gMSE,56.44,42.16,1.38,0,0.02,98.6,37.29,1390.44,27.67,0.23
CNN,4,TAR_1,gMSE,71.79,26.05,0.52,1.59,0.05,97.84,43.59,1899.79,32.42,0.15
CNN,4,TAR_2,gMSE,72.29,20.64,0.21,6.85,0.01,92.93,59.73,3568.12,45.24,0.15
LSTM,2,ENTIRE,cSigp01MSE,86.64,12.36,0,1,0,99,25.09,629.66,18.93,0.12
LSTM,2,TBR_2,cSigp01MSE,91.2,0,0,8.78,0.01,91.2,14.18,201.04,11.58,0.25
LSTM,2,TBR_1,cSigp01MSE,80.01,0,0,19.98,0,80.01,12.39,153.5,8.79,0.14
LSTM,2,TIR,cSigp01MSE,86.13,13.86,0,0,0,99.99,18.78,352.63,14.07,0.11
LSTM,2,TAR_1,cSigp01MSE,87.88,11.76,0,0.36,0.01,99.64,29.16,850.36,24.19,0.11
LSTM,2,TAR_2,cSigp01MSE,88.59,10.8,0,0.6,0,99.39,42.7,1823.45,37.59,0.12
LSTM,2,ENTIRE,cSigp06MSE,86.86,12.29,0,0.84,0,99.15,25.06,628.14,18.78,0.11
LSTM,2,TBR_2,cSigp06MSE,93.12,0,0,6.87,0.01,93.12,14.63,214.06,12.55,0.27
LSTM,2,TBR_1,cSigp06MSE,83.56,0,0,16.43,0,83.56,11.85,140.43,8.19,0.13
LSTM,2,TIR,cSigp06MSE,86.25,13.75,0.01,0,0,100,18.59,345.48,13.79,0.11
LSTM,2,TAR_1,cSigp06MSE,88.12,11.51,0,0.36,0.01,99.63,29.07,845.24,24.18,0.11
LSTM,2,TAR_2,cSigp06MSE,88.05,11.35,0,0.59,0,99.4,43.15,1861.65,37.92,0.13
LSTM,2,ENTIRE,cSigp01,82.05,17.57,0.01,0.35,0.01,99.62,27.56,759.7,21.36,0.14
LSTM,2,TBR_2,cSigp01,98.45,0,0,1.53,0.01,98.45,10.43,108.75,8.39,0.17
LSTM,2,TBR_1,cSigp01,95.18,0,0,4.81,0.01,95.18,13.35,178.21,10.96,0.18
LSTM,2,TIR,cSigp01,78.01,21.98,0.02,0,0,99.99,22.26,495.71,17.23,0.14
LSTM,2,TAR_1,cSigp01,87.41,12.19,0,0.37,0.03,99.6,29.74,884.39,24.72,0.12
LSTM,2,TAR_2,cSigp01,86.54,12.85,0,0.61,0,99.39,46.22,2136.65,40.68,0.13
LSTM,2,ENTIRE,cSigp06,83.33,16.22,0,0.44,0.01,99.55,28.11,790.19,21.44,0.13
LSTM,2,TBR_2,cSigp06,98.02,0,0,1.97,0.01,98.02,14.33,205.3,12.86,0.28
LSTM,2,TBR_1,cSigp06,94.18,0,0,5.81,0.01,94.18,8.89,79.1,5.39,0.09
LSTM,2,TIR,cSigp06,81.98,18.01,0.01,0,0,99.99,20.88,436.03,15.99,0.13
LSTM,2,TAR_1,cSigp06,85.3,14.22,0,0.45,0.02,99.52,31.58,997.5,26.82,0.13
LSTM,2,TAR_2,cSigp06,81.55,17.68,0,0.77,0,99.23,50.08,2508.09,45.02,0.15
LSTM,2,ENTIRE,gMAD,85.37,14.18,0.01,0.44,0.01,99.55,24.5,600.14,18.73,0.12
LSTM,2,TBR_2,gMAD,97.62,0,0,2.37,0.02,97.62,8.59,73.76,5.54,0.11
LSTM,2,TBR_1,gMAD,92.62,0,0,7.37,0.01,92.62,10.86,117.86,7.51,0.12
LSTM,2,TIR,gMAD,81.85,18.14,0.01,0,0,99.99,20.94,438.55,15.97,0.13
LSTM,2,TAR_1,gMAD,88.68,10.97,0,0.33,0.02,99.65,28.05,786.94,22.66,0.11
LSTM,2,TAR_2,gMAD,93.6,5.92,0,0.47,0,99.52,35.6,1267.24,29.94,0.1
LSTM,2,ENTIRE,gMSE,86.95,12.41,0.01,0.63,0,99.36,23.83,567.74,17.92,0.11
LSTM,2,TBR_2,gMSE,95.82,0,0,4.16,0.01,95.82,10.2,104.13,6.61,0.14
LSTM,2,TBR_1,gMSE,87.85,0,0,12.14,0.01,87.85,11.03,121.65,7.22,0.12
LSTM,2,TIR,gMSE,84.75,15.24,0.01,0,0,99.99,19.41,376.86,14.52,0.11
LSTM,2,TAR_1,gMSE,89.19,10.46,0,0.33,0.01,99.65,27.53,757.96,22.21,0.11
LSTM,2,TAR_2,gMSE,92.82,6.72,0,0.46,0,99.54,36.94,1364.52,31.46,0.1
LSTM,4,ENTIRE,cSigp01MSE,67.72,26.89,0.15,5.21,0.03,94.61,38.04,1447.18,27.5,0.18
LSTM,4,TBR_2,cSigp01MSE,16.5,0,0,83.1,0.4,16.5,37.72,1422.56,33.68,0.7
LSTM,4,TBR_1,cSigp01MSE,12.75,0,0,86.65,0.6,12.75,34.06,1159.98,28.52,0.46
LSTM,4,TIR,cSigp01MSE,71.48,28.29,0.23,0,0,99.77,27.21,740.64,19.71,0.16
LSTM,4,TAR_1,cSigp01MSE,73.3,25.04,0.04,1.59,0.03,98.34,41.98,1762.01,32.12,0.15
LSTM,4,TAR_2,cSigp01MSE,58.86,34.58,0.02,6.54,0,93.44,68.01,4625.25,58.24,0.19
LSTM,4,ENTIRE,cSigp06MSE,68.02,26.92,0.15,4.87,0.04,94.94,38.05,1447.49,27.44,0.18
LSTM,4,TBR_2,cSigp06MSE,20.48,0,0,79.08,0.43,20.48,36.26,1314.81,32,0.67
LSTM,4,TBR_1,cSigp06MSE,19.18,0,0,80.16,0.66,19.18,32.98,1087.55,26.65,0.43
LSTM,4,TIR,cSigp06MSE,71.22,28.55,0.23,0,0,99.77,27.63,763.43,19.96,0.16
LSTM,4,TAR_1,cSigp06MSE,74.03,24.38,0.05,1.51,0.04,98.41,41.77,1744.63,31.84,0.15
LSTM,4,TAR_2,cSigp06MSE,58.93,34.84,0.02,6.21,0,93.77,67.65,4576.74,57.76,0.19
LSTM,4,ENTIRE,cSigp01,65.3,32.08,0.28,2.03,0.32,97.38,41.28,1703.71,30.07,0.19
LSTM,4,TBR_2,cSigp01,87.32,0,0,12.22,0.46,87.32,22.91,524.98,12.24,0.25
LSTM,4,TBR_1,cSigp01,77.85,0,0,21.44,0.72,77.85,25.02,626.09,14.5,0.23
LSTM,4,TIR,cSigp01,62.41,37.14,0.45,0,0,99.55,33.24,1104.93,24.59,0.2
LSTM,4,TAR_1,cSigp01,71.47,25.78,0.05,1.55,1.15,97.25,45.81,2098.9,34.39,0.16
LSTM,4,TAR_2,cSigp01,61.71,31.78,0.02,6.38,0.1,93.49,67.12,4505.57,56.74,0.19
